Column1,Column2,Column3,Column4,Column6
ASN00040029,-261900,1524272,1270,WIDGEE STATION HILL           
ASN00040030,-282367,1524775,7800,BRYN EURYN                    
ASN00040031,-266867,1530500,1676,BUDERIM POST OFFICE           
ASN00040032,-266833,1530667,1000,MONS MARI                     
ASN00040033,-281000,1526000,1590,BUNJURGEN                     
ASN00040034,-280833,1534500,200,BURLEIGH HEADS                
ASN00040035,-271414,1530089,200,BURPENGARY ULMANN RD          
ASN00040036,-264167,1513333,-9999,BURRANDOWAN                   
ASN00040037,-271500,1525000,520,CABOONBAH                     
ASN00040038,-270850,1529517,39,CABOOLTURE POST OFFICE        
ASN00040039,-268083,1531383,150,CALOUNDRA POST OFFICE         
ASN00040040,-268017,1531500,460,CALOUNDRA SIGNAL STATION      
ASN00040041,-273961,1528664,600,CAMP MOUNTAIN (DAVISON ROAD)  
ASN00040042,-280142,1531664,1000,CANUNGRA FINCH ROAD           
ASN00040043,-270314,1534661,999,CAPE MORETON LIGHTHOUSE       
ASN00040044,-282500,1530833,600,DARLINGTON                    
ASN00040045,-262500,1529000,823,CENTRAL KIN KIN               
ASN00040046,-282000,1530000,1100,TRALEE                        
ASN00040047,-275253,1532756,76,CLEVELAND BOWLS CLUB          
ASN00040048,-261000,1518000,-9999,CLOYNA                        
ASN00040049,-256167,1518833,2290,COALSTOUN LAKES               
ASN00040050,-254333,1526500,350,COLTON RAILWAY STATION        
ASN00040051,-267297,1527169,1400,CONONDALE TOWNSHIP            
ASN00040052,-281783,1535383,60,COOLANGATTA BOWLS COMP        
ASN00040053,-265500,1529000,1590,COOLOOLABIN FORESTRY          
ASN00040054,-265500,1529000,1500,ROCKY VALE                    
ASN00040055,-265333,1530833,150,COOLUM BEACH POST OFFICE      
ASN00040056,-273914,1525014,810,COOMINYA POST OFFICE          
ASN00040057,-261842,1529136,1080,COMO                          
ASN00040058,-263306,1528222,768,COORAN POST OFFICE            
ASN00040059,-264181,1529128,1100,COOROY COMPOSITE              
ASN00040060,-269833,1518319,4360,COOYAR POST OFFICE            
ASN00040061,-271333,1533667,50,COWAN COWAN SIGNAL STN        
ASN00040062,-268094,1528700,2000,CROHAMHURST                   
ASN00040063,-271967,1528244,680,DAYBORO POST OFFICE           
ASN00040064,-273067,1522325,5500,DEONGWAR STATE FOREST         
ASN00040065,-266500,1530333,60,DIDDILLIBAH                   
ASN00040066,-276000,1528333,760,DINMORE POST OFFICE           
ASN00040067,-255272,1523175,1067,DOONGUL STATE FOREST          
ASN00040068,-259319,1531906,956,DOUBLE ISLAND POINT LIGHTHOUSE
ASN00040069,-253944,1524331,410,DUCKINWILLA CREEK             
ASN00040070,-275167,1534167,200,DUNWICH POST OFFICE           
ASN00040071,-263828,1511922,3530,LANARK                        
ASN00040072,-264400,1521958,4720,ELGIN VALE FORESTRY           
ASN00040073,-261333,1527167,700,ENTERPRISE STATE SCHOOL       
ASN00040074,-279667,1533500,220,ERNEST JUNCTION RAIL STN      
ASN00040075,-272397,1524219,1190,ESK POST OFFICE               
ASN00040076,-271533,1521683,5010,ESK DALE WEST                 
ASN00040077,-267333,1529833,580,EUDLO                         
ASN00040078,-264769,1529450,930,EUMUNDI - CRESCENT RD         
ASN00040079,-275831,1523806,1120,FOREST HILL                   
ASN00040080,-282619,1530178,2000,GLEN CAIRN                    
ASN00040081,-255000,1530000,300,UNGOWA FOREST STATION         
ASN00040082,-275436,1523375,970,UNIVERSITY OF QUEENSLAND GATTO
ASN00040083,-275428,1522817,1140,GATTON ALLAN STREET           
ASN00040084,-269000,1529833,250,GLASS HOUSE MOUNTAINS         
ASN00040085,-268167,1516500,-9999,GLENCLIFFE                    
ASN00040086,-266675,1518169,4730,GOODGER STORE                 
ASN00040087,-269500,1520500,4350,GOOGA GOOGA CRK FOREST        
ASN00040088,-255333,1525167,-9999,DUNMORA                       
ASN00040089,-260564,1527889,940,GOOMBOORIAN                   
ASN00040090,-261819,1520686,2580,GOOMERI POST OFFICE           
ASN00040091,-276597,1524675,950,GRANDCHESTER SYMES ST         
ASN00040092,-258333,1525500,3100,GUNDIAH RAILWAY STATION       
ASN00040093,-261831,1526414,645,GYMPIE                        
ASN00040094,-278117,1526675,390,HARRISVILLE POST OFFICE       
ASN00040095,-275681,1524625,1240,HATTONVALE STORE              
ASN00040096,-275504,1521246,1550,HELIDON POST OFFICE           
ASN00040097,-282150,1530133,1100,CHRISTMAS CREEK               
ASN00040098,-253169,1525625,280,HOWARD POST OFFICE            
ASN00040099,-264592,1526764,960,IMBIL POST OFFICE             
ASN00040100,-264619,1526644,1270,IMBIL FORESTRY                
ASN00040101,-276117,1527608,399,IPSWICH                       
ASN00040102,-266639,1524608,5130,JIMNA COMPOSITE               
ASN00040103,-262000,1522500,-9999,KABUNGA                       
ASN00040104,-279490,1526235,1010,ENGLESBERG VILLAGE            
ASN00040105,-263872,1526764,810,KANDANGA POST OFFICE          
ASN00040106,-265956,1527281,1070,KENILWORTH TOWNSHIP           
ASN00040107,-280500,1530367,305,BRUFF HILL                    
ASN00040108,-275519,1527478,300,KHOLO                         
ASN00040109,-265181,1520139,3400,KIA ORA SANDY RIDGES          
ASN00040110,-269425,1525647,1290,KILCOY POST OFFICE            
ASN00040111,-260858,1522381,1590,KILKIVAN POST OFFICE          
ASN00040112,-265544,1518456,4419,KINGAROY PRINCE STREET        
ASN00040113,-266894,1516550,5420,KUMBIA POST OFFICE            
ASN00040114,-276322,1523919,335,LAIDLEY POST OFFICE           
ASN00040115,-274914,1527519,1000,LAKE MANCHESTER               
ASN00040116,-283000,1530667,-9999,LAMINGTON GLEN                
ASN00040117,-268031,1529617,430,LANDSBOROUGH POST OFFICE      
ASN00040118,-266234,1526840,1220,LITTLE YABBA SFR 274          
ASN00040119,-261833,1526667,-9999,LONG FLAT                     
ASN00040120,-274617,1525747,510,LOWOOD DON ST                 
ASN00040121,-267528,1528519,4250,MALENY TAMARIND ST            
ASN00040122,-264289,1523292,4490,GALLANGOWAN FORESTRY          
ASN00040123,-266225,1528656,3740,MAPLETON POST OFFICE          
ASN00040124,-275675,1526053,900,MARBURG - WARREGO HIGHWAY     
ASN00040125,-266500,1530833,10,MAROOCHYDORE SWAN BOWLS CLUB  
ASN00040126,-255161,1527156,103,MARYBOROUGH                   
ASN00040127,-262500,1525500,-9999,MARYS CREEK                   
ASN00040128,-268833,1519000,-9999,COOYAR                        
ASN00040129,-264000,1518000,4353,MEMERAMBI                     
ASN00040130,-261692,1518928,4570,SPRINGLEA                     
ASN00040131,-261667,1519000,-9999,MERLWOOD STATE SCHOOL         
ASN00040132,-259667,1525000,400,MIVA                          
ASN00040133,-266950,1523967,2430,MONSILDALE                    
ASN00040134,-266989,1529044,4000,"MONTVILLE ""CRAGLANDS""         "
ASN00040135,-280302,1525529,1830,MOOGERAH DAM                  
ASN00040136,-267661,1529622,500,MOOLOOLAH POST OFFICE         
ASN00040137,-269000,1523000,1660,MOORE POST OFFICE             
ASN00040138,-265078,1515142,4180,MOUNEFONTEIN                  
ASN00040139,-280708,1526119,1430,MT ALFORD                     
ASN00040140,-271492,1525781,1000,MT BRISBANE                   
ASN00040141,-276163,1532039,1440,MOUNT COTTON WEST             
ASN00040142,-275364,1527992,200,MT CROSBY                     
ASN00040143,-275417,1530806,480,MOUNT GRAVATT                 
ASN00040144,-257411,1522364,1200,MOUNT JOSEPH                  
ASN00040145,-270625,1527789,4650,MT MEE                        
ASN00040146,-262203,1522814,5180,SHAMROCK MINE                 
ASN00040147,-273994,1527886,4490,MT NEBO POST OFFICE           
ASN00040148,-265967,1521700,2340,MT STANLEY FORESTRY           
ASN00040149,-281400,1525967,1500,MOUNTAIN VIEW                 
ASN00040150,-279050,1530933,610,MUNDOOLIN                     
ASN00040151,-256050,1525892,380,MUNGAR JUNCTION               
ASN00040152,-262422,1519425,3140,MURGON POST OFFICE            
ASN00040153,-274667,1520667,2280,MURPHYS CREEK POST OFFICE     
ASN00040154,-272000,1525000,500,FAIRVIEW                      
ASN00040155,-277500,1526667,457,DERRYLIN                      
ASN00040156,-281808,1529411,760,TOOLAMBA                      
ASN00040157,-266208,1529667,190,NAMBOUR BOWLING CLUB          
ASN00040158,-266756,1519939,3750,NANANGO WILLS ST              
ASN00040159,-272000,1529667,450,NARANGBA RAILWAY STN          
ASN00040160,-280092,1533175,250,NERANG GILSTON RD             
ASN00040161,-261000,1526500,600,GYMPIE                        
ASN00040162,-281634,1532126,1620,NUMINBAH STATE FARM           
ASN00040163,-282033,1529272,1300,INNIS PLAIN                   
ASN00040164,-261167,1523333,1000,KILKIVAN STATE FOREST 220     
ASN00040165,-262000,1527500,-9999,ORMESBY                       
ASN00040166,-278965,1533128,60,OXENFORD (OBERON WAY)         
ASN00040167,-283260,1527696,2500,PALEN CREEK CORRECTIONAL      
ASN00040168,-267000,1529500,420,PALMWOODS POST OFFICE         
ASN00040169,-268425,1528819,1750,PEACHESTER                    
ASN00040170,-273042,1520542,6670,PECHEY FORESTRY               
ASN00040171,-272692,1529839,150,AMCOR - PETRIE MILL           
ASN00040172,-252833,1528333,50,PIALBA POST OFFICE            
ASN00040173,-281167,1531500,-9999,PINE CREEK                    
ASN00040174,-268667,1525833,1280,PLAIN VIEW                    
ASN00040175,-274276,1535216,90,POINT LOOKOUT BOWLS CLUB      
ASN00040176,-263650,1528533,732,POMONA POST OFFICE            
ASN00040177,-261639,1516014,3760,PROSTON POST OFFICE           
ASN00040178,-282112,1528651,1050,RATHDOWNEY POST OFFICE        
ASN00040179,-276000,1528667,200,REDBANK POST OFFICE           
ASN00040180,-272517,1531008,100,MARGATE COLLINS ST            
ASN00040181,-279167,1526833,1340,ROADVALE POST OFFICE          
ASN00040182,-282311,1531356,9170,GREEN MOUNTAINS               
ASN00040183,-278522,1524797,1010,ROSEVALE                      
ASN00040184,-276322,1525944,630,ROSEWOOD WALLOON RD           
ASN00040185,-276450,1534000,100,RUSSELL ISLAND                
ASN00040186,-272906,1528214,650,SAMSONVALE                    
ASN00040187,-268833,1526167,1250,FREEWOOD                      
ASN00040188,-272675,1526275,2300,SIM JUE CREEK                 
ASN00040189,-271147,1525550,1130,SOMERSET DAM                  
ASN00040190,-279832,1534054,170,SOUTHPORT RIDGEWAY AVE        
ASN00040191,-261000,1515000,4755,SPEEDWELL                     
ASN00040192,-282264,1532786,8060,SPRINGBROOK FORESTRY          
ASN00040193,-264833,1526333,914,STERLING CROSSING FOREST      
ASN00040194,-282000,1533000,-9999,SPRINGBROOK 2                 
ASN00040195,-281167,1529500,710,TABOOBA JUNCTION              
ASN00040196,-281400,1534293,130,TALLEBUDGERA GUINEAS CREEK ROA
ASN00040197,-279695,1531952,5150,MT TAMBORINE FERN ST          
ASN00040198,-279826,1524996,1370,TAROME                        
ASN00040199,-267433,1518439,4010,TARONG                        
ASN00040200,-259483,1525419,670,THEEBINE                      
ASN00040201,-264833,1520500,3804,THE GRANGE                    
ASN00040202,-278206,1523806,1880,THORNTON BVRT                 
ASN00040203,-257289,1525814,330,TIARO                         
ASN00040204,-273778,1530883,240,BANYO SEMINARY                
ASN00040205,-270878,1523756,1160,TOOGOOLAWAH POST OFFICE       
ASN00040206,-263250,1527869,810,TRAVESTON                     
ASN00040207,-256778,1527928,380,TUAN CREEK FOREST STN         
ASN00040208,-275508,1527258,800,VIEWMOUNT                     
ASN00040209,-274361,1535456,410,POINT LOOKOUT                 
ASN00040210,-258167,1530500,30,INSKIP POINT LIGHTHOUSE       
ASN00040211,-275717,1530078,125,ARCHERFIELD AIRPORT           
ASN00040212,-274304,1530672,70,EAGLE FARM RACECOURSE         
ASN00040213,-273236,1530097,150,BALD HILLS POST OFFICE        
ASN00040214,-274778,1530306,380,BRISBANE REGIONAL OFFICE      
ASN00040215,-274833,1530333,150,BRISBANE BOTANICAL GARDENS    
ASN00040216,-274506,1530333,160,BRISBANE SHOW GROUNDS         
ASN00040217,-274833,1531000,-9999,CANNON HILL                   
ASN00040218,-275000,1530833,120,CARINA HILL CRESCENT          
ASN00040219,-274167,1530500,210,TOOMBUL                       
ASN00040220,-274922,1530564,60,COORPAROO BOWLS CLUB          
ASN00040221,-275000,1530167,60,DUTTON PARK                   
ASN00040222,-274118,1530457,180,KALINGA BOWLS CLUB            
ASN00040223,-274178,1531142,40,BRISBANE AERO                 
ASN00040224,-274193,1530024,390,ALDERLEY                      
ASN00040225,-274447,1529286,792,ENOGGERA RESERVOIR            
ASN00040226,-276081,1528975,200,GOODNA AMPOL                  
ASN00040227,-276000,1529167,370,WOLSTON PARK HOSPITAL         
ASN00040228,-274000,1528000,-9999,HIGHVALE                      
ASN00040229,-274992,1529769,165,INDOOROOPILLY BOWLS CLUB      
ASN00040230,-274606,1528811,990,GOLD CREEK RESERVOIR          
ASN00040231,-274565,1531800,250,MANLY RAILWAY STATION         
ASN00040232,-274500,1530333,50,MAYNE JUNCTION                
ASN00040233,-274667,1530000,240,MILTON                        
ASN00040234,-275000,1531000,180,MORNINGSIDE                   
ASN00040235,-274681,1530975,500,MURARRIE ROAD CSIRO           
ASN00040236,-274167,1530667,171,NUDGEE                        
ASN00040237,-273911,1530628,220,TOOMBUL BOWLS CLUB            
ASN00040238,-275500,1529833,186,OXLEY POST OFFICE             
ASN00040239,-274333,1531167,50,PINKENBA                      
ASN00040240,-275519,1530358,90,SALISBURY BOWLS CLUB          
ASN00040241,-273617,1528861,527,SAMFORD CSIRO                 
ASN00040242,-273233,1530700,10,SANDGATE POST OFFICE          
ASN00040243,-275167,1529833,250,GRACEVILLE BOWLS CLUB         
ASN00040244,-275756,1530583,600,SUNNYBANK BOWLS CLUB          
ASN00040245,-274928,1529933,100,TOOWONG BOWLS CLUB            
ASN00040246,-265539,1514156,4440,WARRAGAI                      
ASN00040247,-268422,1525803,1460,LINDFIELD                     
ASN00040248,-263333,1523333,8071,MANUMBAR FOREST RES 639       
ASN00040249,-261167,1518333,-9999,WINDERA CREEK                 
ASN00040250,-261500,1528000,-9999,WOLVI                         
ASN00040251,-263172,1518756,3340,WONDAI POST OFFICE            
ASN00040252,-269558,1527792,1200,WOODFORD POST OFFICE          
ASN00040253,-253000,1529500,640,WOODY ISLAND                  
ASN00040254,-260594,1523861,620,WOOLOOGA POST OFFICE          
ASN00040255,-264100,1518150,4730,WOOROOLIN POST OFFICE         
ASN00040256,-274500,1531667,120,WYNNUM RAILWAY STATION        
ASN00040257,-265603,1529556,100,YANDINA POST OFFICE           
ASN00040258,-268408,1519806,4580,YARRAMAN POST OFFICE          
ASN00040259,-268933,1518975,5940,YARRAMAN UPPER                
ASN00040260,-267833,1525000,4850,YEDNIA                        
ASN00040261,-275500,1530167,119,YEERONGPILLY                  
ASN00040262,-255667,1526167,130,YENGARIE RAILWAY STATION      
ASN00040263,-273589,1530375,270,ZILLMERE POST OFFICE          
ASN00040264,-263919,1530408,83,TEWANTIN POST OFFICE          
ASN00040265,-275278,1532500,160,REDLANDS HRS                  
ASN00040266,-279825,1525475,910,ARATULA ELIZABETH ST          
ASN00040267,-282167,1525667,-9999,CARNEYS CREEK                 
ASN00040268,-273931,1530267,300,CHERMSIDE BOWLS CLUB          
ASN00040269,-276374,1533735,140,KARRAGARRA ISLAND             
ASN00040270,-273628,1521594,6080,RAVENSBOURNE                  
ASN00040271,-272167,1515167,-9999,ROSALEE PLAINS                
ASN00040272,-259283,1529933,30,TIN CAN BAY COUNTRY CLUB      
ASN00040273,-268167,1516500,5360,TURKEEN SFR 151               
ASN00040274,-275553,1530797,690,MOUNT GRAVATT BOWLS CLUB      
ASN00040275,-275167,1529333,200,KENMORE ST DAVID ST           
ASN00040276,-275167,1531833,200,CAPALABA POST OFFICE          
ASN00040277,-266603,1520711,3800,NANANGO EAST FOREST 618       
ASN00040278,-266833,1520000,-9999,NANANGO WEST                  
ASN00040279,-263000,1523000,4267,KABUNGA FOREST RES 427        
ASN00040280,-266661,1517328,4660,TAABINGA                      
ASN00040281,-272667,1531000,-9999,WOODY POINT                   
ASN00040282,-266431,1529392,325,NAMBOUR DPI                   
ASN00040283,-276125,1530989,800,KURABY BEENLEIGH ROAD         
ASN00040284,-269586,1529619,480,BEERBURRUM FOREST STATION     
ASN00040285,-261000,1526500,-9999,NORTH DEEP CREEK              
ASN00040286,-270000,1530667,18,PUMICESTONE POST OFFICE       
ASN00040287,-268475,1517986,4800,MAIDENWELL                    
ASN00040288,-281661,1535036,50,COOLANGATTA AERO              
ASN00040289,-271136,1518517,4870,EUMARELLA                     
ASN00040290,-281725,1527200,1480,MAROON                        
ASN00040291,-276192,1533056,150,REDLAND BAY QLD UNI FARM      
ASN00040292,-268167,1529333,-9999,THE GRANGE                    
ASN00040293,-269500,1527000,-9999,NEURUM RETREAT                
ASN00040294,-276000,1528000,130,RIVERVIEW                     
ASN00040295,-275292,1529142,500,KENMORE WAR VETS HOME         
ASN00040296,-272500,1528167,600,KOBBLESTONE                   
ASN00040297,-278667,1522333,2743,BLACKFELLOWS CREEK            
ASN00040298,-268167,1527667,5334,GREENLEA                      
ASN00040299,-274167,1527167,991,BANKS CREEK                   
ASN00040300,-274533,1523733,900,BALAAM HILL                   
ASN00040301,-271882,1519634,6120,GLENAVEN                      
ASN00040302,-276242,1521158,1650,FLAGSTONE CREEK               
ASN00040303,-269994,1523994,830,GREGOR CREEK                  
ASN00040304,-269475,1519567,3700,KOORALGIN                     
ASN00040305,-267717,1523583,1720,LOUISAVALE                    
ASN00040306,-276667,1531333,120,LOGANLEA ELLESLIE RD          
ASN00040307,-269664,1517086,6030,VINCENT VALE                  
ASN00040308,-273342,1527717,6180,MT GLORIOUS FAHEY RD          
ASN00040309,-271500,1526500,1500,MT BYRON                      
ASN00040310,-277239,1523108,4510,MT BERRYMAN                   
ASN00040311,-270600,1521403,3505,NUKINENDA                     
ASN00040312,-277354,1529443,690,NEW BEITH                     
ASN00040313,-269333,1524667,2100,NEARA CREEK STATION           
ASN00040314,-277189,1528172,600,RIPLEY VALLEY                 
ASN00040315,-267833,1525667,1680,MOUNT KILCOY                  
ASN00040316,-283017,1529117,1520,RUNNING CREEK                 
ASN00040317,-277508,1526664,530,RANGE VIEW                    
ASN00040318,-270258,1525642,1036,KIRKLEAGH                     
ASN00040319,-277347,1533275,100,ROCKY POINT SUGAR MILL        
ASN00040320,-274174,1531552,110,CALTEX REFINERIES (QLD) LTD   
ASN00040321,-253833,1520500,1200,DALLARNIL TELEPHONE EXCH      
ASN00040322,-276333,1527333,-9999,IPSWICH RODERICK ST           
ASN00040323,-270167,1523000,1280,THE GLEN                      
ASN00040324,-274833,1529500,2290,MOUNT COOT-THA                
ASN00040325,-274000,1529333,600,FERNY HILLS STATE SCHOOL      
ASN00040326,-274428,1529744,300,ASHGROVE BOWLS CLUB           
ASN00040327,-269000,1527000,-9999,MARY SMOKES                   
ASN00040328,-264667,1517000,-9999,GORDON BROOK                  
ASN00040329,-274200,1524506,750,ATKINSONS DAM                 
ASN00040330,-267500,1530000,-9999,HILLCREST                     
ASN00040331,-276333,1527333,-9999,IPSWICH PUMP                  
ASN00040332,-275000,1530000,200,TARINGA                       
ASN00040333,-276167,1527833,820,BOOVAL                        
ASN00040334,-255097,1520456,1250,BIGGENDEN TM                  
ASN00040335,-279694,1532133,5200,MT TAMBORINE ALERT            
ASN00040336,-279000,1530000,1200,VERESDALE                     
ASN00040337,-273833,1532167,200,ST HELENA ISLAND              
ASN00040338,-257000,1522500,-9999,GIGOOMGAN                     
ASN00040339,-274000,1531000,20,ASCOT                         
ASN00040340,-276000,1526000,940,ASHWELL                       
ASN00040341,-278794,1532139,3600,WONGAWALLAN ALERT             
ASN00040342,-281500,1532333,-9999,CHIGIGUM FARM                 
ASN00040343,-270397,1528678,330,WAMURAN                       
ASN00040344,-274500,1530500,-9999,BULIMBA                       
ASN00040345,-278064,1532072,2600,LUSCOMBE ALERT                
ASN00040346,-279667,1529333,-9999,BROMELTON                     
ASN00040347,-274833,1529000,310,BROOKFIELD                    
ASN00040348,-262000,1513000,-9999,BOONDOOMA                     
ASN00040349,-254667,1526833,-9999,ALDERSHOT                     
ASN00040350,-274333,1530500,-9999,WOOLOOWIN                     
ASN00040351,-275333,1530167,-9999,YEERONGPILLY GOLF LINKS       
ASN00040352,-280000,1522500,-9999,WONGA                         
ASN00040353,-273667,1534500,-9999,SOUTH PASSAGE                 
ASN00040354,-274833,1530667,-9999,NORMAN PARK                   
ASN00040355,-274667,1530500,-9999,NEW FARM                      
ASN00040356,-267833,1528167,3383,MOUNT WOOT-THA                
ASN00040357,-270333,1523667,-9999,KANNANGUR                     
ASN00040358,-274000,1531500,-9999,LYTTON                        
ASN00040359,-274833,1530167,-9999,HIGHGATE HILL                 
ASN00040360,-269833,1523667,-9999,FERNYHURST                    
ASN00040361,-274500,1531333,-9999,HEMMANT                       
ASN00040363,-283233,1529906,2700,MOUNT GIPPS                   
ASN00040364,-268000,1529500,720,ANGLESEA                      
ASN00040365,-260528,1523919,790,WOOLOOGA                      
ASN00040366,-283000,1528667,5486,TARTARS CREEK                 
ASN00040367,-274667,1530167,-9999,ST LUCIA TRAINING FARM        
ASN00040368,-275247,1530633,310,LYNNDON PARK BOWLS CLUB       
ASN00040369,-275667,1529500,310,DARRA                         
ASN00040370,-280167,1526833,910,DUGANDAN                      
ASN00040371,-268500,1528667,-9999,EMSCOTE FARM                  
ASN00040372,-267667,1528500,4120,MALENY                        
ASN00040373,-274500,1526500,457,FERNVALE                      
ASN00040374,-277594,1524564,1000,FRANKLYN VALE                 
ASN00040375,-267000,1529833,-9999,GLENBAR                       
ASN00040376,-280867,1531594,2000,TYUNGUN ALERT                 
ASN00040377,-262575,1514108,4180,BRIGOODA                      
ASN00040378,-271931,1522992,1200,TINTON                        
ASN00040379,-262167,1525167,792,GLASTONBURY                   
ASN00040380,-281167,1523667,10970,CEDAR MOUNTAIN                
ASN00040381,-282500,1528833,910,THE DIP                       
ASN00040382,-272711,1520642,5850,CROWS NEST                    
ASN00040383,-275119,1530450,390,GREENSLOPES PRIVATE HOSPITAL  
ASN00040384,-277219,1522239,1750,MOUNT SYLVIA                  
ASN00040385,-265539,1516678,4790,MINMORE                       
ASN00040386,-265892,1527322,850,KENILWORTH BRIDGE             
ASN00040387,-268242,1522741,1400,LINVILLE                      
ASN00040388,-276342,1522206,1390,UPPER TENTHILL                
ASN00040389,-263967,1526147,1070,KANDANGA UPPER                
ASN00040390,-256500,1526647,280,TEDDINGTON WATERWORKS         
ASN00040391,-270867,1524700,660,WATTS BRIDGE                  
ASN00040392,-279000,1523833,2130,TOWNSON EAST                  
ASN00040393,-267167,1528667,1830,BAROON POCKET                 
ASN00040394,-282321,1527829,2270,MOUNT BARNEY                  
ASN00040395,-277183,1521211,2520,FORDSDALE                     
ASN00040396,-267778,1528033,4890,MALENY DENNING RD             
ASN00040397,-276683,1521592,1800,MT WHITESTONE                 
ASN00040398,-269167,1525833,1219,MT KILCOY                     
ASN00040399,-258983,1523467,190,MUNNA CREEK                   
ASN00040400,-279064,1524739,1370,MOORANG                       
ASN00040401,-257000,1522000,-9999,TEEBAR                        
ASN00040402,-281181,1528522,1200,FORTLAND                      
ASN00040403,-273878,1523492,1140,BUARABA                       
ASN00040404,-282633,1528800,1500,GLENAPP                       
ASN00040405,-253220,1528817,130,HERVEY BAY AIRPORT            
ASN00040406,-277094,1532014,310,BEENLEIGH BOWLS CLUB          
ASN00040407,-280557,1530330,1320,LUMEAH                        
ASN00040408,-276843,1532809,140,CARBROOK LONGLAND ROAD        
ASN00040409,-279333,1528000,670,GLEN RETREAT                  
ASN00040410,-277833,1533333,20,JACOBS WELL                   
ASN00040411,-278481,1529061,400,ROMANI                        
ASN00040412,-252483,1526636,40,TOOGOOM                       
ASN00040413,-281556,1530401,1520,CENTRAL KERRY                 
ASN00040414,-262167,1525000,-9999,WIDGEE FOREST RES 242         
ASN00040416,-280017,1533083,30,CLEARVIEW TM                  
ASN00040417,-280686,1534241,50,MIAMI BARDON AVE              
ASN00040418,-275275,1529222,400,MOGGILL VET RES FARM          
ASN00040419,-255833,1521833,1260,BOOMPA POST OFFICE            
ASN00040420,-265300,1530897,100,COOLUM BOWLS CLUB             
ASN00040421,-274636,1519900,4800,SPRING BLUFF RAILWAY STN      
ASN00040422,-270500,1520167,3048,EMU CREEK                     
ASN00040423,-263000,1522500,4570,JIMMYS SCRUB FOREST R612      
ASN00040424,-277550,1520814,3360,WEST HALDON                   
ASN00040425,-272178,1528425,700,DAYBORO STRONG ROAD           
ASN00040428,-256550,1517450,1310,BRIAN PASTURES                
ASN00040429,-275942,1531181,480,ROCHEDALE SOUTH               
ASN00040430,-252825,1528994,30,URANGAN HIBISCUS ST           
ASN00040431,-272881,1523333,4000,ESK STATE FOREST R531         
ASN00040432,-267000,1524000,1520,MONSILDALE SCHOOL             
ASN00040433,-282333,1533667,-9999,GREEN VALLEY                  
ASN00040434,-256667,1526000,200,OWANYILLA RAILWAY STN         
ASN00040435,-268939,1516083,10560,MT MOWBULLAN                  
ASN00040436,-275456,1523289,980,GATTON QDPI RESEARCH STN      
ASN00040437,-274464,1526447,700,RIVERMEAD                     
ASN00040438,-262600,1528683,823,KIN KIN POST OFFICE           
ASN00040439,-282333,1532833,10000,ALPINE PANORAMA               
ASN00040442,-260664,1525825,600,CURRA                         
ASN00040445,-278133,1526417,460,HARRISVILLE                   
ASN00040446,-259300,1516108,3270,WIGTON                        
ASN00040447,-279902,1524610,1850,RHONDA                        
ASN00040449,-275572,1522308,1250,PLACID HILLS                  
ASN00040450,-275129,1529960,120,LONG POCKET CSIRO LAB         
ASN00040451,-259963,1528335,490,TOOLARA FORESTRY              
ASN00040452,-275469,1529222,680,MT OMMANEY GOLF CLUB          
ASN00040453,-279167,1530000,-9999,SHERWOOD MILES                
ASN00040454,-278333,1530000,200,GLENLOGAN FIELD STATION       
ASN00040455,-258500,1513667,1520,DUNOLLIE                      
ASN00040456,-260500,1520500,-9999,TANSEY POST OFFICE            
ASN00040457,-275767,1529042,230,WACOL DPI                     
ASN00040458,-275314,1531825,280,CAPALABA WATER TREAT          
ASN00040459,-275000,1531000,200,CARINA BCC DONALDSON RD       
ASN00040460,-276081,1532381,560,MOUNT COTTON FARM             
ASN00040461,-273947,1529308,630,FERNY HILLS AUST WOOLSHED     
ASN00040462,-277500,1529167,-9999,CLOVER DOWNS                  
ASN00040463,-275797,1529875,280,OXLEY                         
ASN00040468,-274686,1530814,60,CANNON HILL BOWLS CLUB        
ASN00040469,-258694,1523172,770,MARODIAN HOMESTEAD            
ASN00040470,-259064,1525928,710,MT BAUPLE MAC FARMS           
ASN00040471,-278220,1534110,10,COURAN COVE                   
ASN00040473,-259500,1519667,1780,BOOUBYJAN                     
ASN00040474,-258833,1512833,-9999,KILROCK                       
ASN00040475,-253333,1522667,-9999,KULLOGUM FORESTRY             
ASN00040476,-274094,1529525,500,KEPERRA COUNTRY GOLF CLUB     
ASN00040477,-260500,1510500,-9999,MONOGORILBY                   
ASN00040478,-255047,1531289,110,FRASER ISLAND EURONG          
ASN00040479,-274333,1529833,-9999,ENOGGERA ARMY                 
ASN00040480,-272883,1521239,4700,PERSEVERANCE DAM              
ASN00040481,-265039,1525861,1510,BORUMBA DAM                   
ASN00040482,-256500,1524500,1500,ST MARYS S/F 57               
ASN00040483,-281833,1526667,-9999,POINTRO                       
ASN00040484,-278881,1534231,100,CURRIGEE                      
ASN00040485,-282490,1525232,6370,WILSONS PEAK                  
ASN00040486,-266061,1524392,5070,YABBA STATION                 
ASN00040487,-282025,1531900,8000,BINNA BURRA                   
ASN00040488,-274236,1530183,280,GRANGE BOWLING CLUB           
ASN00040490,-282086,1525389,2680,CARNEYS CREEK THE RANCH       
ASN00040491,-263667,1525661,1400,AMAMA                         
ASN00040492,-266700,1525139,5320,YIELO                         
