Column1,Column2,Column3,Column4,Column6
AJ000037744,407670,470500,940,MINGACHEVIR                   
AJ000037747,406170,471500,150,EVLAKH AIRPORT                
AJ000037749,406500,477500,950,GOYCHAY                       
AJ000037753,408670,489330,10820,ALTIAGACH                     
AJ000037756,405330,489330,7550,MARAZA                        
AJ000037759,406330,486330,8920,SHAMAKHY                      
AJ000037769,406000,496330,-190,SUMGAIT                       
AJ000037813,403000,459000,120,GEYGEL'                       
AJ000037816,405000,461000,16550,DASHKESAN                     
AJ000037825,404000,463000,16120,GEYGEL'-KURORT                
AJ000037831,404000,470000,1600,MIR-BASHIR                    
AJ000037832,404000,471000,690,BARDA                         
AJ000037835,402000,477000,-50,ZARDOB                        
AJ000037844,403330,481670,40,KURDAMIR                      
AJ000037849,400170,489170,-50,GAZIMAMMAD AERODROM           
AJ000037850,404000,498000,470,BAKU                          
AJ000037860,405330,500000,280,MASHTAGA                      
AJ000037861,402000,509000,-150,NEFT'JNIE                     
AJ000037866,404670,503170,-240,PIRALLAHI                     
AJ000037869,403000,506000,-170,JILOY
AJ000037883,399000,459000,20640,ISTISU                        
AJ000037888,395000,458000,32820,SISIANSKIY
AJ000037893,399000,469000,3520,AGDAM                         
AJ000037895,399830,467500,8280,KHANKANDY                     
AJ000037898,397000,465000,11520,LACHIN                        
AJ000037899,397670,467500,13550,SHUSHA                        
AJ000037901,398000,471000,4140,MARTUNY                       
AJ000037902,398000,475000,1570,MOL'SKAYA
AJ000037905,397670,477500,710,BEYLAGAN AERODROME            
AJ000037907,396000,471500,4390,FIZULY                        
AJ000037912,399000,485000,-160,DJAFARHAN                     
AJ000037913,396000,489000,-200,SAL'JNY                       
AJ000037914,399000,480000,-10,IMISLY                        
AJ000037922,398000,496000,-250,SVINOY
AJ000037923,399670,494000,-160,ALAT                          
AJ000037925,394000,492500,-240,NEFTCHALA                     
AJ000037936,392000,454170,8850,NAXCIVAN                      
AJ000037941,394000,456000,12050,SAHBUZ                        
AJ000037946,391000,460000,32680,PARAGACHAY                    
AJ000037947,389500,456330,7170,JULFA                         
AJ000037957,389170,460170,7870,ORDUBAD                       
AJ000037962,394000,470000,6320,DJEBRAIL                      
AJ000037968,390000,467000,3130,MINDJEVAN                     
AJ000037972,394670,485500,30,BILASUVAR                     
AJ000037978,397000,486000,20,GYOYTAPA                      
AJ000037981,389000,482000,7940,JARDIMLY                      
AJ000037984,387670,484000,11130,LERIK                         
AJ000037985,387500,488170,-120,LANKARAN                      
AJ000037989,385000,489000,-220,ASTARA                        
ALE00100939,413331,197831,890,TIRANA                        
ALE00108905,421000,195331,430,SHKODRA                       
ALM00013615,414150,197210,384,TIRANA RINAS                  
AM000037608,411000,437000,20090,SHURABAD                      
AM000037609,410000,439000,20190,GUKASYAN_VERIN                
AM000037618,411170,442830,15090,TASHIR                        
AM000037627,410500,446330,11100,ODZUN                         
AM000037629,411000,448000,6630,SHNOH                         
AM000037682,407830,438330,18660,AMASIA                        
